Namespace(batch_size=32, dataset='FREEMUG', dropout=0.5, emb_dims=1024, epochs=100, eval=False, exp_name='free_mug_am_cos', k=20, loss_type='cosface', lr=0.001, model='dgcnn', model_root='', momentum=0.9, no_cuda=False, num_points=1024, scheduler='cos', seed=1, test_area='all', test_batch_size=16, use_sgd=True, visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='FREEMUG', dropout=0.5, emb_dims=1024, epochs=100, eval=False, exp_name='free_mug_am_cos', k=20, loss_type='cosface', lr=0.001, model='dgcnn', model_root='', momentum=0.9, no_cuda=False, num_points=1024, scheduler='cos', seed=1, test_area='all', test_batch_size=16, use_sgd=True, visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Train 95, loss: 0.378990, train acc: 0.959259, train avg acc: 0.907116, train iou: 0.882154
Test 95, loss: 0.401166, test acc: 0.981752, test avg acc: 0.958520, test iou: 0.946903
Train 96, loss: 0.377171, train acc: 0.959630, train avg acc: 0.907958, train iou: 0.883214
Test 96, loss: 0.397064, test acc: 0.981599, test avg acc: 0.958147, test iou: 0.946457
Train 97, loss: 0.375728, train acc: 0.959893, train avg acc: 0.908555, train iou: 0.883965
Test 97, loss: 0.397557, test acc: 0.982115, test avg acc: 0.959281, test iou: 0.947947
Train 98, loss: 0.374145, train acc: 0.960133, train avg acc: 0.909102, train iou: 0.884653
Test 98, loss: 0.401548, test acc: 0.981892, test avg acc: 0.958839, test iou: 0.947307
Train 99, loss: 0.373352, train acc: 0.960632, train avg acc: 0.910269, train iou: 0.886087
Test 99, loss: 0.405244, test acc: 0.982338, test avg acc: 0.959906, test iou: 0.948605
